claim_id,tier,claim,status,evidence,analysis_unit,source,allowed_wording,prohibited_wording,manuscript_location
C6A-01,foundation,Disease-blind reconstruction supports B_CONV and B_ASC as broad identity compartments.,authorized,20/20 resamples; minimum mapped ARI 0.990; minimum state median Jaccard 0.991.,cell graph for identity; sample support for markers,phase17_v7/gateC2B4/20260815_two_level_state_repair/06_GATE_C2B4_ADVISOR_DECISION.json,broad conventional-B compartment; antibody-secreting compartment,hard naive/memory subtype; disease-defined subtype,Results 1; Figure 1
C6A-02,negative_boundary,"Five-, four- and three-state hard identity models were not stable enough to publish.",required_negative_result,Gate C2B3 HOLD preserved by C2B4; naive-memory retained as a continuous axis.,20 disease-blind graph resamples,phase17_v7/gateC2B3/20260813_full_neutral_state_freeze/16_GATE_C2B3_ADVISOR_REVIEW.json,fine-grained identity was unstable,C2B4 validated the original five clusters,Results 1; Methods; Discussion
C6A-03,secondary,B_ASC relative abundance is not a central SLE-control finding.,authorized_secondary_only,"Primary OR 0.947, 95% CI 0.636-1.410, P=0.787; flare q=0.085.",sample-cohort stratum,phase17_v7/gateC3A/20260815_frozen_abundance/09_GATE_C3A_ADVISOR_DECISION.json,secondary compositional context; no primary B_ASC difference,B_ASC expansion is a central replicated result,Results 2; Figure 2 or Extended Data
C6A-04,central,SLE is associated with an IFN/ISG transcriptional shift within GSE174188 B_CONV.,authorized,"Primary effect 0.837, 95% CI 0.525-1.148, four-program BH q=2.98e-06.",sample-cohort B_CONV pseudobulk,phase17_v7/gateC4B/20260815_edger_transcription/15_GATE_C4B_ADVISOR_DECISION.json,SLE-associated within-compartment IFN remodeling,IFN causes the B-cell state,Results 3; Figure 3
C6A-05,central_support,The GSE174188 IFN result is internally reproducible across a donor-nonoverlap contrast.,authorized,"Full internal effect 0.856, q=0.00462; donor-nonoverlap effect 1.086, q=0.000361.",sample-cohort B_CONV pseudobulk,phase17_v7/gateC4B/20260815_edger_transcription/15_GATE_C4B_ADVISOR_DECISION.json,internal replication within GSE174188,independent external cohort,Results 3; Figure 3
C6A-06,central,The frozen IFN/ISG program replicates independently in GSE135779.,authorized,"Childhood effect 1.042, 95% CI 0.681-1.402, q=2.98e-06; combined effect 0.996, q=1.31e-06.",donor-level broad conventional-B pseudobulk,phase17_v7/gateC5B/20260815_gse135779_external_validation/17_GATE_C5B_ADVISOR_DECISION.json,independently replicated IFN/ISG program,independently replicated B-cell subtype,Results 4; Figure 4
C6A-07,boundary,The adult GSE135779 estimate is directionally compatible but not confirmatory.,authorized_directional_only,"Adult n=11 donors; effect 0.968, 95% CI -0.123-2.060, q=0.291.",donor-level broad conventional-B pseudobulk,phase17_v7/gateC5B/20260815_gse135779_external_validation/17_GATE_C5B_ADVISOR_DECISION.json,positive but underpowered adult estimate,adult replication confirmed,Results 4; Discussion; Figure 4
C6A-08,boundary,"Cross-dataset agreement is IFN-program-specific, not transcriptome-wide.",required_boundary,"Shared tested-gene Spearman rho 0.026; 10 shared tested IFN genes, all positive in both datasets.",shared tested genes across two datasets,phase17_v7/gateC5B/20260815_gse135779_external_validation/17_GATE_C5B_ADVISOR_DECISION.json,program-specific replication despite genome-wide heterogeneity,global transcriptomic concordance,Results 4; Discussion; Figure 4
C6A-09,supporting_internal,"Naive-to-memory and APC/HLA are supporting GSE174188 axes, not external replications.",authorized_supporting_only,"Primary naive effect -0.541, q=0.021; APC effect 0.268, q=0.021; GSE135779 childhood estimates were null for both.",sample/donor-level program score,phase17_v7/gateC4B/20260815_edger_transcription/15_GATE_C4B_ADVISOR_DECISION.json,supporting internal axes,externally replicated naive-memory or APC program,Results 3-4; Discussion; Extended Data
C6A-10,external_only,The GSE135779 atypical/low-naive signal is external-cohort-specific.,authorized_observation_only,"GSE174188 primary effect -0.057, q=0.748; GSE135779 childhood effect 1.191, q=0.00051.",sample/donor-level program score,phase17_v7/gateC5B/20260815_gse135779_external_validation/07_PROGRAM_RESULTS.csv,external-only observation,replicated atypical/ABC program,Results 4; Discussion; Extended Data
C6A-11,future,Regulator activity and perturbational support remain untested at C6A.,locked_pending_C6B,A pre-effect C6B contract is required before regulator effects are inspected.,not applicable,00_project_management/gateC6B_regulatory_evidence_freeze_contract_2026-08-15.md,candidate regulatory hypothesis,mechanistic validation; causal regulator,Discussion only until C6B passes
