path,size_bytes,sha256,content_check,status
.gitattributes,310,1EF5AA15F331F6132FAC1DF27895B2CDB23B516FD6BB217B9413C2B0346E2A12,SHA-256 and size only; no semantic-content assertion,PASS_WITH_SCOPE_AS_STATED
.gitignore,2847,BBDC8C2F6B04A0C4DF1E5C57F3ABD4CE217CDF38234D99723EB0D01722EB7A61,SHA-256 and size only; no semantic-content assertion,PASS_WITH_SCOPE_AS_STATED
6013RP-wyf.zip,120555882,82D401DB2FA398B60EAA49114F7E5E0E615516F84DEC81B84CBC091F95F41D94,ZIP CRC / Office XML verified,PASS_WITH_SCOPE_AS_STATED
CITATION.cff,1021,E82ED98B8C81BF7570A8AC805CB2D11685414583C4327145D0F829DAB7136B5D,UTF-8 decoded; semantic review separate,PASS_WITH_SCOPE_AS_STATED
LICENSE,1077,C7F66564CA727134EF67BCA05E24647E1BC9FF4C5C1A37DC4FE75E3D80C63844,SHA-256 and size only; no semantic-content assertion,PASS_WITH_SCOPE_AS_STATED
LICENSE_CONTENT_CC_BY_4.0.md,475,619C8CF18174195EC168ABF487D54E12668EB0B2361DE2457EBE41D9FE308111,UTF-8 decoded; semantic review separate,PASS_WITH_SCOPE_AS_STATED
LICENSE_SCOPE.md,1414,E0C3B3BBF090F4148D70CC5E07C3E008C907D15BAB63392BFD175CE5FA993755,UTF-8 decoded; semantic review separate,PASS_WITH_SCOPE_AS_STATED
README.md,8936,57D970C9853C3304CFB758DD1FA19662D37FEBC05E9EF7DC5C8092173E80197B,UTF-8 decoded; semantic review separate,PASS_WITH_SCOPE_AS_STATED
RELEASE_NOTES.md,1707,439DAD8BEE1CB7B64052844D3C6F1D3112AE0AA13EB688A982C9A1A3FF4FCC11,UTF-8 decoded; semantic review separate,PASS_WITH_SCOPE_AS_STATED
REPRODUCIBILITY.md,8303,A9FEA8C9EE8491C19E6742A64DE3DEB5DB96A130223C6C03EF735672404056B9,UTF-8 decoded; semantic review separate,PASS_WITH_SCOPE_AS_STATED
.github/workflows/static-checks.yml,338,B0746B633F1D33042F30A1D2B2BA750CB10DB2EB899E1A3797575580C412ABC0,UTF-8 decoded; semantic review separate,PASS_WITH_SCOPE_AS_STATED
