claim_id,location,claim,unit_n,test,sidedness,p_value,q_value,confidence_interval,multiplicity,decision,source
R1,Results 1; Fig. 1; Fig. S9,End-to-end broad-state reproducibility did not meet the frozen state-specific criterion because B_ASC median Jaccard was below 0.95,"150,402 cells; 20 resamples",Prespecified ARI/agreement/Jaccard thresholds,not tested,NA,NA,NA,five fixed criteria,HOLD_FULL_PIPELINE_TWO_COMPARTMENT_REPRODUCIBILITY,phase17_v7/round6_q1_robustness/20260827_r1_hold_integration/06_AUDIT_AND_PROPAGATION_PREP_STATUS.json
C3_PRIMARY,Results 2; Fig. 2,The primary B_ASC composition analysis did not support a difference in source-defined managed SLE,43 controls; 47 SLE sample-cohort strata,Beta-binomial Wald,two-sided,0.787,0.787,OR 0.636-1.410,BH across three frozen base contrasts,NOT_SUPPORTED,phase17_v7/gateC3A/20260815_frozen_abundance/09_GATE_C3A_ADVISOR_DECISION.json
C4_IFN_PRIMARY,Results 3; Fig. 3,GSE174188 primary B_CONV IFN/ISG program is higher in SLE,89 pseudobulk strata,OLS with HC3 covariance,two-sided,7.33e-07,2.98e-06,0.525-1.148,BH across four frozen programs,SUPPORTED,phase17_v7/gateC4B/20260815_edger_transcription/15_GATE_C4B_ADVISOR_DECISION.json
C4_IFN_NONOVERLAP,Results 3; Fig. 3,Donor-nonoverlap internal IFN/ISG effect is positive,54 pseudobulk strata,OLS with HC3 covariance,two-sided,9.01e-05,3.61e-04,0.573-1.599,BH across four frozen programs,SUPPORTED_INTERNAL,phase17_v7/gateC4B/20260815_edger_transcription/15_GATE_C4B_ADVISOR_DECISION.json
C5_IFN_CHILD,Results 4; Fig. 4,GSE135779 childhood IFN/ISG program replicates in a source-label-defined broad B-cell analogue,11 controls; 32 SLE donors,OLS with HC3 covariance,two-sided,7.45e-07,2.98e-06,0.681-1.402,BH across four frozen programs,SUPPORTED_INDEPENDENT_SOURCE_LABEL_DEFINED,phase17_v7/gateC5B/20260815_gse135779_external_validation/17_GATE_C5B_ADVISOR_DECISION.json
C5_GENOMEWIDE,Results 4; Fig. 4,Genome-wide cross-dataset effect concordance was weak (Spearman rho=0.026),"4,410 shared tested genes",Spearman correlation,descriptive,NA,NA,NA,none,WEAK_RHO_0.026,phase17_v7/gateC5B/20260815_gse135779_external_validation/17_GATE_C5B_ADVISOR_DECISION.json
C9R,Results 5; Fig. S10,Corrected source-label-independent mapping did not satisfy the frozen calibration gate; no corrected disease outcome was estimated,258 reference donors; 56 external matrices,Prespecified coverage and per-state precision calibration,not tested,NA,NA,NA,fixed calibration family,HOLD_C9A_PREFREEZE_REVIEW_REQUIRED,phase17_v7/gateC9R/20260828_corrected_external_mapping/15_GATE_C9A_PREFREEZE_DECISION.json
TF_ULM,Results 6; Fig. 5,STAT1/STAT2 slopes are positive across three contrasts,6 regulator-by-contrast tests,Signed-target slope t test,two-sided,see Supplementary Data 2,global 24-test BH,see Supplementary Data 2,BH across 24 tests,CONVERGENT_OBSERVATIONAL,phase17_v7/gateC5B/20260815_gse135779_external_validation/regulatory
TF_CORRELATED,Results 6; Table S4; Fig. S7,Correlation-aware STAT1/STAT2 direction is retained,6 tests per method,CAMERA and FRY,positive-direction,see Supplementary Data 2,CAMERA 5/6; FRY 6/6 q<0.05,NA,separate BH family of six per method,SUPPORTED_WITH_DISCOVERY_STAT2_EXCEPTION,phase17_v7/gateC6B/20260819_regulatory_sensitivity
TF_DEPLETION,Results 6; Table S4B; Fig. S8,"Narrow 12-gene depletion retained support, whereas broader M5911 depletion did not support overlap-independent STAT1/STAT2 regulation",6 tests per branch and method,"ULM, CAMERA and FRY after fixed depletion",two-sided ULM; positive CAMERA/FRY,see Supplementary Data 2,branch-specific BH,see Supplementary Data 2,six tests per branch and method,NOT_SUPPORTED_FOR_BROAD_M5911_INDEPENDENCE,phase17_v7/round6_q1_robustness/20260825_overlap_depletion/01_OVERLAP_DEPLETION_RESULTS.csv
M5911,Results 6; Fig. 5,M5911 is positively enriched in three contrasts,3 ranked contrasts,"10,000-permutation preranked test",positive-direction,see Supplementary Data 3,descriptive BH across three contrasts,NA,three contrasts,ORTHOGONAL_RESPONSE_SUPPORT,phase17_v7/gateC5B/20260815_gse135779_external_validation/orthogonal
GSE23307,Results 6; Fig. 5,IFN-beta increases the 12-gene arm,2 healthy donors,Mean paired log2(x+1) difference,not tested,NA,NA,NA,none,DESCRIPTIVE_ONLY,phase17_v7/gateC5B/20260815_gse135779_external_validation/orthogonal
